battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range,battery_power_scaled,clock_speed_scaled,fc_scaled,int_memory_scaled,m_dep_scaled,mobile_wt_scaled,n_cores_scaled,pc_scaled,px_height_scaled,px_width_scaled,ram_scaled,sc_h_scaled,sc_w_scaled,talk_time_scaled,CatRam,SqPx,Perfomance
772,0,2.6,1,7,0,6,0.1,100,2,10,741,1471,929,13,6,18,0,1,1,0,-1.0619386427758424,1.3210955615546396,0.6198797067425464,-1.4357667433986352,-1.3933037788854497,-1.1372728390361821,-1.1019712820905798,0.013772517364150388,0.21613368504898609,0.5079585206815579,-1.1021264858824549,0.16464113511687545,0.053497934059360104,1.279429946341662,0,1090011,5.5072265625
1815,0,2.8,0,2,0,33,0.6,159,4,17,607,748,1482,18,0,2,1,0,0,1,1.3122480280961677,1.5662536337522064,-0.532098934295451,0.05255998271670267,0.34073950535281977,0.5298269026501891,-0.22756439290940167,1.1683548113647708,-0.08589269667799969,-1.1652986362145614,-0.5921956646037394,1.351671669485119,-1.3241312691859664,-1.6495840959342845,1,454036,8.247265625
536,1,1.4,0,0,1,53,0.7,135,3,0,547,705,1211,15,10,7,1,0,1,0,-1.5991467485532098,-0.14985287163076313,-0.9928903907106499,1.1550242242836197,0.6875481622004737,-0.1483153651544365,-0.6647678374999907,-1.635630759779593,-0.22112838998859033,-1.264814622032726,-0.842089430546835,0.6394533488641729,0.9719174028895778,-0.7342672077230512,1,385635,5.5826171875
803,1,2.1,0,7,0,17,1.0,198,4,11,344,1440,2680,7,1,4,1,0,1,2,-0.991373171254239,0.7082003810607219,0.6198797067425464,-0.8294114105368309,1.7279741327434355,1.6318080878327055,-0.22756439290940167,0.17871284507852472,-0.6786758190227553,0.4362144378824158,0.512500761963894,-1.259795506125017,-1.094526401978412,-1.2834573406497911,2,495360,8.7171875
1694,0,1.8,0,0,0,53,1.0,186,6,0,1194,1208,1653,7,5,6,1,0,0,2,1.036815058608619,0.3404632727643712,-0.9928903907106499,1.1550242242836197,1.7279741327434355,1.2927369539303928,0.6468424962717764,-1.635630759779593,1.2371631695439453,-0.10070902048535689,-0.43451362041086344,-1.259795506125017,-0.1761069331481943,-0.9173305853652978,1,1442352,9.4142578125
1866,0,0.5,0,13,1,52,0.7,185,1,17,356,563,373,14,9,3,1,0,1,0,1.42833961027687,-1.253064196519815,2.0022540759881435,1.0999010122052737,0.6875481622004737,1.2644810261052,-1.5391747266811688,1.1683548113647708,-0.6516286803606371,-1.5934488077578284,-1.614823658813677,0.40204724199052416,0.7423125356820234,-1.4665207182920377,0,200428,1.8642578125
1633,0,1.7,1,3,1,33,0.9,111,2,19,146,906,511,9,0,7,1,1,0,0,0.8979604210983672,0.21788423666558757,-0.3017032060878515,0.05255998271670267,1.3811654758957816,-0.826457632959062,-1.1019712820905798,1.4982354667935194,-1.1249536069477044,-0.7996352464640955,-1.4875714827983737,-0.7849832923777195,-1.3241312691859664,-0.7342672077230512,0,132276,4.1990234375
775,0,1.0,0,3,0,46,0.7,159,2,16,862,1864,568,17,15,11,1,1,1,0,-1.0551097261769775,-0.6401690160258973,-0.3017032060878515,0.7691617397351987,0.6875481622004737,0.5298269026501891,-1.1019712820905798,1.0034144836503964,0.48885899989201054,1.417488344554552,-1.4350108014007485,1.1142655626114704,2.1199417389273503,-0.002013697154064573,0,1606768,3.5546875
1371,0,0.5,0,4,0,52,0.5,167,4,19,471,663,3034,13,6,8,0,0,0,2,0.30156837146417104,-1.253064196519815,-0.07130747788025202,1.0999010122052737,-0.006069151494834045,0.7558743252517308,-0.22756439290940167,1.4982354667935194,-0.3924269348486718,-1.3620162825993056,0.8389302569596722,0.16464113511687545,0.053497934059360104,-0.5512038300808045,3,312273,7.462890625
838,0,0.5,0,1,1,13,0.1,196,8,4,984,1850,3554,10,9,19,1,0,1,3,-0.9117024776008158,-1.253064196519815,-0.7624946625030504,-1.0499042588502143,-1.3933037788854497,1.57529623218232,1.5212493854529545,-0.9758694489220956,0.7638382429568782,1.385087791032359,1.318431210060815,-0.5475771855040708,0.7423125356820234,1.4624933239839086,3,1820400,11.970703125
551,1,2.8,0,0,1,54,0.1,172,7,15,169,1916,1414,6,1,19,1,0,1,0,-1.5650021655588857,1.5662536337522064,-0.9928903907106499,1.2101474363619655,-1.3933037788854497,0.8971539643776945,1.0840459408623655,0.838474155936022,-1.0731132578453113,1.537833257636984,-0.6548996353938888,-1.4972016129986656,-1.094526401978412,1.4624933239839086,1,323804,11.180859375
595,0,0.9,1,7,1,23,0.1,121,3,17,441,810,3752,10,2,18,1,1,0,3,-1.4648447221088678,-0.7627480521246808,0.6198797067425464,-0.4986721380667558,-1.3933037788854497,-0.5438983547071348,-0.6647678374999907,1.1683548113647708,-0.4600447815039671,-1.0218104706162774,1.5010104191262503,-0.5475771855040708,-0.8649215347708576,1.279429946341662,3,357210,7.5640625
1221,0,0.5,0,1,1,28,0.5,139,1,7,1895,1976,2438,13,11,10,1,1,1,3,-0.039877458479071023,-1.253064196519815,-0.7624946625030504,-0.22305607767502658,-0.006069151494834045,-0.03529165385366558,-1.5391747266811688,-0.4810484657789726,2.8171668530560128,1.6766927727320975,0.2893483953283621,0.16464113511687545,1.2015222700971322,-0.18507707479631122,2,3744520,3.880859375
1131,1,0.5,1,11,0,49,0.6,101,5,18,658,878,1835,19,13,16,1,1,0,1,-0.24474495644501626,-1.253064196519815,1.5414626195729444,0.9345313759702363,0.34073950535281977,-1.1090169112109893,0.20963905168118738,1.333295139079145,0.02905764263600236,-0.8644363535084818,-0.2666882868254634,1.5890777763587678,1.6607320045122411,0.9133031910571687,1,577724,7.2919921875
1000,1,0.5,0,12,0,63,0.7,179,8,18,1537,1761,3744,11,1,7,0,0,1,3,-0.5429409812621143,-1.253064196519815,1.7718583477805439,1.706256345067078,0.6875481622004737,1.0949454591540435,1.5212493854529545,1.333295139079145,2.0102605496361554,1.1791128436412737,1.4936334813862329,-0.310171078630422,-1.094526401978412,-0.7342672077230512,3,2706657,12.15625
682,1,0.5,0,4,0,19,1.0,121,4,11,902,1064,2337,11,1,18,0,1,1,1,-1.2668061407417874,-1.253064196519815,-0.07130747788025202,-0.7191649863801393,1.7279741327434355,-0.5438983547071348,-0.22756439290940167,0.17871284507852472,0.5790161287657376,-0.4339718567136296,0.19621455636064006,-0.310171078630422,-1.094526401978412,1.279429946341662,2,959728,6.7822265625
1986,0,2.7,1,3,1,64,0.2,162,4,20,236,1520,1377,5,3,15,1,1,1,1,1.7014962742314637,1.4436745976534233,-0.3017032060878515,1.761379557145424,-1.0464951220377958,0.6145946861257672,-0.22756439290940167,1.6631757945078938,-0.9221000669818185,0.621360458009234,-0.6890179724414701,-1.7346077198723144,-0.6353166675633032,0.7302398134149221,1,358720,8.0447265625
772,0,1.1,1,12,0,39,0.8,81,7,14,1314,1854,2819,17,15,3,1,1,0,3,-1.0619386427758424,-0.5175899799271135,1.7718583477805439,0.38329925518677777,1.0343568190481278,-1.674135467714844,1.0840459408623655,0.6735338282216478,1.5076345561651268,1.3943450920387,0.6406750551966995,1.1142655626114704,2.1199417389273503,-1.4665207182920377,2,2436156,10.8529296875
1119,0,0.5,1,0,1,23,0.4,164,4,1,821,915,3520,7,4,7,1,0,0,3,-0.2720606228404756,-1.253064196519815,-0.9928903907106499,-0.4986721380667558,-0.3528778083424879,0.6711065417761527,-0.22756439290940167,-1.4706904320652185,0.39644794279644024,-0.7788063191998285,1.2870792246657405,-1.259795506125017,-0.4057118003557487,-0.7342672077230512,3,751215,7.9375
1709,1,2.1,0,1,0,13,1.0,156,2,2,974,1385,3283,17,1,15,1,0,0,3,1.0709596416029432,0.7082003810607219,-0.7624946625030504,-1.0499042588502143,1.7279741327434355,0.44505911917461083,-1.1019712820905798,-1.3057501043508444,0.7412989607384464,0.3089265490452283,1.0685374441177196,1.1142655626114704,-1.094526401978412,0.7302398134149221,3,1348990,7.3060546875
1699,0,0.5,1,1,0,59,0.5,97,4,3,466,1768,3796,17,10,12,0,1,1,3,1.0481965862733937,-1.253064196519815,-0.7624946625030504,1.4857634967536948,-0.006069151494834045,-1.2220406225117602,-0.22756439290940167,-1.14080977663647,-0.4036965759578877,1.1953131204023704,1.541583576696347,1.1142655626114704,0.9719174028895778,0.18104968048818207,3,823888,8.20703125
1949,0,2.6,1,4,0,47,0.3,199,4,7,407,822,1433,11,5,20,0,0,1,1,1.6172729695121304,1.3210955615546396,-0.07130747788025202,0.8242849518135446,-0.6996864651901419,1.6600640156578983,-0.22756439290940167,-0.4810484657789726,-0.5366783410466351,-0.9940385675972546,-0.6373794082613471,-0.310171078630422,-0.1761069331481943,1.6455567016261552,1,334554,7.9994140625
1099,0,0.5,0,13,1,61,0.3,146,3,20,393,1096,1699,17,10,3,1,1,1,1,-0.31758673349957456,-1.253064196519815,2.0022540759881435,1.5960099209103864,-0.6996864651901419,0.16249984092268352,-0.6647678374999907,1.6631757945078938,-0.5682333361524396,-0.3599134486629023,-0.39209622840576236,1.1142655626114704,0.9719174028895778,-1.4665207182920377,1,430728,5.1591796875
1602,1,2.8,1,4,1,38,0.7,114,3,20,466,788,1037,8,7,20,1,0,0,0,0.8273949495767638,1.5662536337522064,-0.07130747788025202,0.3281760431084319,0.6875481622004737,-0.7416898494834838,-0.6647678374999907,1.6631757945078938,-0.4036965759578877,-1.0727256261511522,-1.0025378263922176,-1.0223893992513682,0.2831028012669145,1.6455567016261552,0,367208,6.8126953125
1576,0,2.6,0,7,0,58,0.2,90,3,16,400,631,336,14,8,13,1,1,1,0,0.7682110057199352,1.3210955615546396,0.6198797067425464,1.430640284675349,-1.0464951220377958,-1.4198321172881094,-0.6647678374999907,1.0034144836503964,-0.5524558385995374,-1.436074690650033,-1.6489419958612583,0.40204724199052416,0.5127076684744689,0.3641130581304287,0,252400,5.928125
503,0,1.2,1,5,1,8,0.4,111,3,13,201,1245,2583,11,0,12,1,0,0,1,-1.674264831140723,-0.3950109438283302,0.15908825032734747,-1.3255203192419436,-0.3528778083424879,-0.826457632959062,-0.6647678374999907,0.5085935005072734,-1.0009875547463296,-0.01507898617670349,0.4230553918661808,-0.310171078630422,-1.3241312691859664,0.18104968048818207,2,250245,6.7224609375
950,1,0.5,0,9,0,55,0.1,156,5,10,774,843,1095,14,12,13,0,1,0,0,-0.6567562579098617,-1.253064196519815,1.0806711631577455,1.2652706484403113,-1.3933037788854497,0.44505911917461083,0.20963905168118738,0.013772517364150388,0.2905133163698109,-0.9454377373139649,-0.94905502777709,0.40204724199052416,1.4311271373046865,0.3641130581304287,0,652482,6.5693359375
961,1,1.4,1,0,1,57,0.6,114,8,3,291,1434,2782,18,9,7,1,1,1,2,-0.6317168970473572,-0.14985287163076313,-0.9928903907106499,1.375517072597003,0.34073950535281977,-0.7416898494834838,1.5212493854529545,-1.14080977663647,-0.7981340147804438,0.42232848637290443,0.6065567181491183,1.351671669485119,0.7423125356820234,-0.7342672077230512,2,417294,12.116796875
1081,1,2.5,1,13,0,49,1.0,99,3,17,284,519,325,9,1,6,0,0,1,0,-0.35856023309276364,1.198516525455856,2.0022540759881435,0.9345313759702363,1.7279741327434355,-1.1655287668613747,-0.6647678374999907,1.1683548113647708,-0.813911512333346,-1.6952791188275784,-1.6590852852537825,-0.7849832923777195,-1.094526401978412,-0.9173305853652978,0,147396,5.8173828125
519,1,1.6,1,7,1,51,0.3,132,4,19,550,645,3763,16,1,4,1,0,1,3,-1.637843942613444,0.0953052005668042,0.6198797067425464,1.044777800126928,-0.6996864651901419,-0.2330831486300147,-0.22756439290940167,1.4982354667935194,-0.2143666053230608,-1.4036741371278398,1.5111537085187745,0.8768594557378216,-1.094526401978412,-1.2834573406497911,3,354750,9.2748046875
606,0,2.5,0,1,1,53,0.2,146,4,2,465,1152,1223,19,12,7,1,0,0,0,-1.4398053612463635,1.198516525455856,-0.7624946625030504,1.1550242242836197,-1.0464951220377958,0.16249984092268352,-0.22756439290940167,-1.3057501043508444,-0.4059505041797309,-0.2303112345741296,-0.8310240239368086,1.5890777763587678,1.4311271373046865,-0.7342672077230512,1,535680,7.6943359375
956,0,0.5,0,1,1,41,1.0,143,7,6,511,1075,3286,17,8,12,1,1,0,3,-0.643098424712132,-1.253064196519815,-0.7624946625030504,0.49354567934346943,1.7279741327434355,0.07773205744710533,1.0840459408623655,-0.6459887934933469,-0.30226980597494474,-0.40851427894619213,1.071303795770226,1.1142655626114704,0.5127076684744689,0.18104968048818207,3,549325,10.708984375
502,0,1.5,1,7,0,37,0.2,199,2,12,705,1810,1649,6,1,14,0,1,0,1,-1.676541136673678,-0.027273835531979467,0.6198797067425464,0.27305283103008604,-1.0464951220377958,1.6600640156578983,-1.1019712820905798,0.34365317279289903,0.1349922690626317,1.29251478096895,-0.4382020892808723,-1.4972016129986656,-1.094526401978412,0.5471764357726754,1,1276050,5.1103515625
1453,0,1.6,1,12,1,52,0.3,96,2,18,187,1311,2373,10,1,10,1,1,1,2,0.4882254251664767,0.0953052005668042,1.7718583477805439,1.0999010122052737,-0.6996864651901419,-1.250296550336953,-1.1019712820905798,1.333295139079145,-1.0325425498521341,0.1376664804279215,0.2294107761907192,-0.5475771855040708,-1.094526401978412,-0.18507707479631122,2,245157,5.9173828125
957,1,0.7,0,0,1,4,0.1,160,2,0,38,1682,1898,12,4,3,1,1,0,1,-0.6408221191791771,-1.007906124322248,-0.9928903907106499,-1.546013167555327,-1.3933037788854497,0.5580828304753818,-1.1019712820905798,-1.635630759779593,-1.3683778549067676,0.9962811487660408,-0.20859490212282492,-0.07276497175677328,-0.4057118003557487,-1.4665207182920377,1,63916,4.553515625
851,0,0.5,0,3,0,21,0.4,200,5,7,1171,1263,478,12,7,10,1,0,1,0,-0.8821105056724015,-1.253064196519815,-0.3017032060878515,-0.6089185622234475,-0.3528778083424879,1.688319943483091,0.20963905168118738,-0.4810484657789726,1.1853228204415522,0.0265788683518306,-1.5180013509759462,-0.07276497175677328,0.2831028012669145,-0.18507707479631122,0,1478973,5.966796875
1658,1,1.4,1,0,1,38,0.3,159,5,0,51,739,2609,12,11,19,1,0,0,2,0.9548680594222408,-0.14985287163076313,-0.9928903907106499,0.3281760431084319,-0.6996864651901419,0.5298269026501891,0.20963905168118738,-1.635630759779593,-1.3390767880228063,-1.1861275634788284,0.44703043952123794,-0.07276497175677328,1.2015222700971322,1.4624933239839086,2,37689,8.9478515625
1579,1,0.5,1,0,0,5,0.2,88,7,9,1358,1739,3532,17,11,12,0,0,1,3,0.7750399223188,-1.253064196519815,-0.9928903907106499,-1.490889955476981,-1.0464951220377958,-1.4763439729384948,1.0840459408623655,-0.15116781035022395,1.6068073979262265,1.1281976881063986,1.2981446312757667,1.1142655626114704,1.2015222700971322,0.18104968048818207,3,2361562,10.94921875
1681,1,2.5,1,6,0,18,0.3,167,1,7,850,1005,2265,5,3,20,1,1,1,2,1.0072230866802048,1.198516525455856,0.38948397853494693,-0.7742881984584851,-0.6996864651901419,0.7558743252517308,-1.5391747266811688,-0.4810484657789726,0.46181186122989243,-0.570517046557158,0.1298221167004818,-1.7346077198723144,-0.6353166675633032,1.6455567016261552,2,854250,5.7119140625
1568,1,0.5,0,16,0,33,1.0,150,8,20,413,654,508,5,1,6,1,1,1,0,0.7500005614562957,-1.253064196519815,2.6934412606109417,0.05255998271670267,1.7279741327434355,0.2755235522234544,1.5212493854529545,1.6631757945078938,-0.5231547717155761,-1.3828452098635728,-1.4903378344508804,-1.7346077198723144,-1.094526401978412,-0.9173305853652978,0,270102,8.99609375
1983,1,0.5,1,3,0,43,1.0,87,6,10,349,676,2775,9,4,3,0,1,1,2,1.6946673576325988,-1.253064196519815,-0.3017032060878515,0.6037921035001611,1.7279741327434355,-1.5045999007636874,0.6468424962717764,0.013772517364150388,-0.6674061779135394,-1.3319300543286978,0.6001018976266028,-0.7849832923777195,-0.4057118003557487,-1.4665207182920377,2,235924,9.2099609375
1319,1,0.9,0,3,1,41,0.9,107,1,18,85,1152,2227,18,5,3,1,1,1,1,0.1832004837505138,-0.7627480521246808,-0.3017032060878515,0.49354567934346943,1.3811654758957816,-0.939481344259833,-1.5391747266811688,1.333295139079145,-1.2624432284801383,-0.2303112345741296,0.09478166243539826,1.351671669485119,-0.1761069331481943,-1.4665207182920377,2,97920,4.0748046875
1753,0,1.2,0,8,1,12,0.9,113,7,17,387,1595,1445,17,16,12,1,1,1,1,1.1711170850529609,-0.3950109438283302,0.8502754349501459,-1.1050274709285601,1.3811654758957816,-0.7699457773086765,1.0840459408623655,1.1683548113647708,-0.5817569054834987,0.7949348518781261,-0.6263140016513207,1.1142655626114704,2.3495466061349046,0.18104968048818207,1,617265,9.6111328125
1310,1,2.2,1,0,1,51,0.6,100,4,0,178,1919,3845,7,0,12,1,1,0,3,0.16271373395391928,0.8307794171595057,-0.9928903907106499,1.044777800126928,0.34073950535281977,-1.1372728390361821,-0.22756439290940167,-1.635630759779593,-1.0528279038487227,1.5447762333917396,1.586767320353955,-1.259795506125017,-1.3241312691859664,0.18104968048818207,3,341582,9.9548828125
1632,1,1.4,0,0,0,41,0.1,132,4,1,706,1623,2614,5,4,15,1,0,0,2,0.8956841155654123,-0.14985287163076313,-0.9928903907106499,0.49354567934346943,-1.3933037788854497,-0.2330831486300147,-0.22756439290940167,-1.4706904320652185,0.13724619728447487,0.8597359589225124,0.4516410256087489,-1.7346077198723144,-0.4057118003557487,0.7302398134149221,2,1145838,7.952734375
644,1,2.7,0,0,0,22,0.7,157,8,3,311,881,1262,12,1,15,1,0,0,0,-1.3533057509940756,1.4436745976534233,-0.9928903907106499,-0.5537953501451016,0.6875481622004737,0.47331504699980353,1.5212493854529545,-1.14080977663647,-0.7530554503435802,-0.8574933777537261,-0.795061452454223,-0.07276497175677328,-1.094526401978412,0.7302398134149221,1,273991,11.932421875
1949,1,1.4,0,7,0,57,0.3,145,7,11,951,1178,356,5,3,19,0,0,0,0,1.6172729695121304,-0.14985287163076313,0.6198797067425464,1.375517072597003,-0.6996864651901419,0.13424391309749079,1.0840459408623655,0.17871284507852472,0.6894586116360534,-0.17013877803291372,-1.6304996515112145,-1.7346077198723144,-0.6353166675633032,1.4624933239839086,0,1120278,8.74765625
